n_base,m_base,density,length,weight_mode,dist_type,dual2,n,mu_pes_bound,dsrse_ratio,lp_orig,cdsrse_weight,cdsrse_ratio,dual1,opt_mc,cdsrse_lp_adaptive,sdp_orig,lp_cons,dsrse_lp_adaptive,alpha_pes_over_pstar,p_star,m,dsrse_weight,alpha_pes,alpha_gap,alpha_pes_over_pstar_gap,lp_cons_gap,lp_orig_gap,sdp_orig_gap,dual1_gap,dual2_gap,mu_pes_bound_gap,cdsrse_w_gap,cdsrse_r_gap,dsrse_w_gap,dsrse_r_gap,cdsrse_lp_adaptive_gap,dsrse_lp_adaptive_gap,alpha_over_opt,alpha_pes_over_pstar_over_opt,lp_cons_over_opt,lp_orig_over_opt,sdp_orig_over_opt,dual1_over_opt,dual2_over_opt,mu_pes_bound_over_opt,cdsrse_w_over_opt,cdsrse_r_over_opt,dsrse_w_over_opt,dsrse_r_over_opt,cdsrse_lp_adaptive_over_opt,dsrse_lp_adaptive_over_opt
8,12,dense,short,uniform01,uniform,2.1419112099374615,8.0,2.690037947477891,1.5035504520025635,1.65401069918205,1.415907583411021,1.3959040174912019,2.274543724782734,1.5937692496394607,1.4727804991861402,NaN,1.5263609549857864,1.455110567816475,8.129388918111363,0.17859999999999998,12.0,1.542419435496229,1.3961092584525343,0.1241894200143284,3.9948320823447867,0.04772291504867711,0.03959350775244845,NaN,0.4701131634339518,0.36493063409916726,0.6660065071817902,0.11800581348083512,0.13927896174736487,0.03991173869717872,0.07061063227283305,0.08024872548386576,0.08740628009310142,0.8759795426899843,5.100731438977366,0.9577051102793436,1.0377981000425356,NaN,1.4271474526800392,1.3439280563494373,1.6878465612800762,0.888401871055879,0.8758507656029758,0.967780897921799,0.9433928106861729,0.9240864068115944,0.9129995249598694
8,12,sparse,short,uniform01,uniform,1.3658952273639484,4.0,1.4792899988309927,0.9708932918814932,1.062773276859522,0.9430776054205772,0.8761635455118123,1.4858201824273862,1.0230743253793528,0.9580146109377171,NaN,0.9968761381256155,0.9455975768776735,5.474599322269205,0.1758,12.0,1.003943233015475,0.9122493646136167,0.10139260649348061,4.404955143900407,0.047116785797455,0.039367978720535934,NaN,0.45348321995845986,0.330882169944247,0.46455988620915917,0.07443107552329874,0.13531540928880847,0.018729862419197628,0.04819848901231986,0.06101560343703527,0.06876485582094279,0.8916745753299571,5.35112570656999,0.9743926842812489,1.0388035849354824,NaN,1.4523091290326817,1.3350889505095132,1.4459262266037969,0.9218075187947726,0.8564026325134624,0.9813003885550698,0.9489958527905477,0.9364076364466367,0.9242706550445872
8,12,dense,long,uniform01,uniform,1.9362608809530006,8.0,2.3911049763421732,1.1966367933508621,1.3691485229709803,1.213187793876938,1.0820755294275197,2.298228390613379,1.3125794438175562,1.226547454838501,NaN,1.2559957795202237,1.0664112721191958,12.85265957734521,0.09519999999999998,19.5,1.2700860261480516,1.2037563151090904,0.08647064794746726,8.914990629862123,0.04173293840858676,0.05184033122144658,NaN,0.8137501867182518,0.5070825155910347,0.8364097268473687,0.07559473427924142,0.2064107460697167,0.03293686839283498,0.10458465213332342,0.06502457306667302,0.22670344167022657,0.917092158329129,9.791909844301724,0.956891246039354,1.0430976421426321,NaN,1.7509251736634879,1.4751570962604028,1.821684003665174,0.9242776119885409,0.8243885995047812,0.9676260222802856,0.9116680891104907,0.9344557852217794,0.8124546496154202
8,12,sparse,long,uniform01,uniform,1.2423369141545622,4.0,1.4484646025168595,0.8606390386774307,0.916397526499033,0.8792781341923565,0.8355082545024359,1.466162606931153,0.8983085561758456,0.8791515936908976,NaN,0.8895607598138863,0.7277772165095049,8.620076694417545,0.1026,19.5,0.8919434195036485,0.8364761145212747,0.06817423379676157,8.680493847804422,0.015707644943924848,0.02248240769784876,NaN,0.6406632632515928,0.3814482686481682,0.6489569705148766,0.02124987925608298,0.06811822097428219,0.008825661307306786,0.04343369065277354,0.0216496023145162,0.1989142631851844,0.93116792528639,9.595897350809768,0.9902619247007963,1.0201367004675914,NaN,1.632136972147629,1.3829734845711215,1.6124354961986134,0.9788152724888842,0.9300905003724396,0.9929143091998435,0.9580661708725382,0.9786744071920005,0.810163959261055
10,15,dense,short,uniform01,uniform,2.801633032298395,10.0,3.9847861864750542,2.1360904460472936,2.3045132237417207,2.03398110341539,2.0273216706149224,2.997886421356654,2.2217402586933885,2.038621451913449,NaN,2.110473223607932,2.114312395238897,14.71796740540626,0.14039999999999997,15.0,2.1425210679815287,1.9845483495106009,0.10802912165868037,5.860201882432845,0.05400971951048791,0.03690002604599633,NaN,0.36063927027882664,0.271677834643668,0.7841316339680868,0.08310135124646487,0.08655229633364968,0.04034397923923215,0.04093734421087658,0.08285349112263495,0.056092981281434154,0.8932404864814032,6.624522082550701,0.9499189724586019,1.0372559144681526,NaN,1.3493415396450164,1.2610083565511132,1.793542773905766,0.9154900513040078,0.9124926564580487,0.9643436308983981,0.9614492232784827,0.9175786611133238,0.951646974467812
10,15,sparse,short,uniform01,uniform,1.729484599500281,5.0,1.8659206662171903,1.2854398161353207,1.3440985421949512,1.227080805270376,1.2119089060681563,1.9007037749131004,1.3144566300687537,1.2675505515494805,NaN,1.2945067666531203,1.2923250904561605,7.988204939397727,0.1484,15.0,1.2978502043666162,1.1915910741062736,0.10842604687050632,5.215190382921948,0.02398962795014873,0.033308265964593055,NaN,0.49763869012925455,0.3478703074906549,0.4284006305799524,0.07525179635499911,0.0938559834254543,0.016129132864534147,0.03397340780581589,0.038895034837879164,0.025537806954681642,0.9065274934509985,6.077191713034988,0.9848227298190965,1.0225506961950104,NaN,1.4459996103589075,1.315741090225106,1.4195376428049908,0.9335270386259855,0.9219847032950539,0.9873663190384084,0.9779248601515934,0.9643152330428584,0.9831629746418978
10,15,dense,long,uniform01,uniform,2.491551318617104,10.0,3.2840831187867643,1.6121699287293652,1.813451972487409,1.594342716334313,1.3110638420756622,2.8041116252700906,1.7420440757296969,1.6205155377248022,NaN,1.672326956806391,1.6750246022180746,20.91955449099994,0.0762,25.9,1.6927767123190076,1.4839260472152196,0.15272975265345554,11.66798578215429,0.05700609208132268,0.043770704530877794,NaN,0.624369141891988,0.4398211127339794,0.9204163000136582,0.09040425595668669,0.2446758471239115,0.031200539282744733,0.0739710297494818,0.07435384443025451,0.045300437376365646,0.8518303686395774,12.008625259517204,0.9599797043630465,1.0409908668515182,NaN,1.6096674385781664,1.43024585504443,1.885189453321465,0.9152137644201018,0.752600844227487,0.9717186470209989,0.9254472669149139,0.9302379660204696,0.9615282561185775
10,15,sparse,long,uniform01,uniform,1.5807792922451458,5.0,1.6277334044544793,0.9808947296125166,1.0839629004080684,0.9908441097807715,0.928354103938171,1.8386352828949515,1.0502657923808019,0.998992726073786,NaN,1.045303033172976,0.9228595771712103,12.521226817450776,0.08360000000000001,25.9,1.0365297048957856,0.9604654142916417,0.0794433197440698,11.927297473088636,0.01775949641128649,0.03207155120966916,NaN,0.8162894001427418,0.5320162118653929,0.6257154844300407,0.04835529178066965,0.1017867593519767,0.012580549136624208,0.061809041914671445,0.04264046937454123,0.14518432413059826,0.9144974741245303,11.921960048862442,0.9952747587859869,1.0320843621412061,NaN,1.7506380729843911,1.505123087615513,1.5498299728153968,0.9434222431777675,0.8839230132724074,0.9869213225978934,0.9339490410222434,0.9511808661398109,0.8786914549308704
12,18,dense,short,uniform01,uniform,3.268898171288048,12.0,4.450559901519513,2.1528866611987914,2.42571717778564,1.90264533598694,1.9017890851846495,3.4882076131674347,2.308372499258524,2.078830686481212,NaN,2.1146640680114337,2.1885751051451523,16.03895563456593,0.12580000000000002,18.0,2.231953977235277,1.9457768200797374,0.16590122870457558,5.96880855867426,0.08888359841040153,0.05646374498075575,NaN,0.5257713347719937,0.4238403106986423,0.9670684080053711,0.18911460873849525,0.18509092013725556,0.03514895814234399,0.06827499326895095,0.10532580807554257,0.058773708718894514,0.8429215045252633,6.948166138575047,0.9160844138849723,1.050834377278714,NaN,1.51111123282221,1.416105144355192,1.9280076776816066,0.8242367020912316,0.8238657694091946,0.9668950647922752,0.9326426570626376,0.9005611906869261,0.948103092481022
12,18,sparse,short,uniform01,uniform,2.0779381597437783,6.0,2.1072580356685853,1.2664687325700519,1.4707126800444472,1.1612014745880237,1.0928120349754016,2.3314662484862994,1.3834999476930943,1.2013826912639622,NaN,1.334017792297911,1.1953553999269646,7.4814757584620235,0.1506,18.0,1.3560555615239422,1.0738715544975443,0.2348666106288227,4.40604990886714,0.04886488100582438,0.06297665574057539,NaN,0.711700588581584,0.5307187820137578,0.5086035529669505,0.1668952448442887,0.22511049406178177,0.024104547448924752,0.09168010644911297,0.14465393172669896,0.13450148175442456,0.7761992013719716,5.407644410060838,0.9642340749794087,1.0630377561609419,NaN,1.685194316323527,1.501943070694451,1.5231356092078756,0.8393216613591201,0.7898894660586017,0.9801630739380122,0.9154093100486306,0.8683648259381563,0.8640082725844336
12,18,dense,long,uniform01,uniform,2.8936035647960248,12.0,4.003444957098757,1.7721927996111209,1.9931663463669758,1.7118472598042938,1.6678580627529969,3.378983788585912,1.9100968948898818,1.7361318339386838,NaN,1.786251524423454,1.820856326734138,24.873106636932928,0.06860000000000002,30.5,1.858680230385684,1.6454226011142161,0.15246497516095608,12.245734035483313,0.07543000919278986,0.049818482575938995,NaN,0.8057515999874667,0.5397942516394214,1.0931378995734344,0.12193505441702328,0.1418417044355657,0.04088307010593306,0.0836368423198814,0.10745530510264067,0.05926020792116661,0.8614341008125013,13.021908314429712,0.9351627811145321,1.0434896531685545,NaN,1.7690117174818571,1.5148988370890173,2.0959381525666307,0.8962096448531124,0.8731798199426684,0.9730816459407092,0.9278025655935579,0.9089234365981066,0.9532795595896256
12,18,sparse,long,uniform01,uniform,1.8785319776116705,6.0,1.7897685493980746,0.9820719288870071,1.1825209144339281,0.972217279876675,0.8326017988957242,2.2748784140116847,1.1145840391422823,1.0322022803005884,NaN,1.0874854358968074,1.005125369336319,11.864498536298628,0.08460000000000001,30.5,1.0959701496884662,0.9595893257303558,0.13952232072029358,9.947965926104649,0.04514110055942956,0.06475569647470121,NaN,1.1167823140594728,0.744306741213056,0.5836027036515636,0.12909342612034835,0.23856264338207805,0.02131969686871422,0.11318901619132622,0.07770308169077664,0.10456749433388737,0.8609394106063091,10.644776992705586,0.9756872498673779,1.0609526719438096,NaN,2.041011116364358,1.685410800478784,1.6057726349422465,0.8722691566845292,0.7470067483977656,0.9832996985421213,0.8811107053378867,0.9260874407414895,0.901794152830148
